"Country/Area","Year","Unit","Gross Domestic Product (GDP)"
"Montenegro","2018","US$","8771.687572656583"
"Montserrat","2018","US$","12753.617063889444"
"Morocco","2018","US$","3272.948447172096"
"Mozambique","2018","US$","498.9407111335622"
"Myanmar","2018","US$","1354.4454179625445"
"Namibia","2018","US$","5930.068829882849"
"Nauru","2018","US$","11875.86171064606"
"Nepal","2018","US$","990.5566417063114"
"Netherlands","2018","US$","53583.14328236584"
"New Caledonia","2018","US$","36334.84251305146"
"New Zealand","2018","US$","43836.152524935314"
"Nicaragua","2018","US$","2028.9006561959632"
"Niger","2018","US$","571.2737515530439"
"Nigeria","2018","US$","2153.526494348688"
"Northern Africa","2018","US$","2814.288982269229"
"Northern America","2018","US$","61220.94785441179"
"Northern Europe","2018","US$","47699.3814881023"
"Norway","2018","US$","81335.65121518455"
"Oceania","2018","US$","41469.17184245842"
"Oman","2018","US$","19072.779581956"
"Pakistan","2018","US$","1330.386325960916"
"Palau","2018","US$","15859.433461774724"
"Panama","2018","US$","15575.082784736605"
"Papua New Guinea","2018","US$","2681.425289414932"
"Paraguay","2018","US$","5794.575643139496"
"Peru","2018","US$","6947.25005526438"
"Philippines","2018","US$","3102.72695908906"
"Poland","2018","US$","15444.001196297082"
"Polynesia","2018","US$","12947.099381740778"
"Portugal","2018","US$","23477.72801856678"
"Puerto Rico","2018","US$","33271.16498376758"
"Qatar","2018","US$","68793.66078224898"
"Republic of Korea","2018","US$","33621.8795210293"
"Republic of Moldova","2018","US$","2791.0343913210786"
"Republic of North Macedonia","2018","US$","6062.944545318222"
"Romania","2018","US$","12280.841987521073"
"Russian Federation","2018","US$","11394.140943692862"
"Rwanda","2018","US$","773.0470742973199"
"Saint Kitts and Nevis","2018","US$","19275.41851265655"
"Saint Lucia","2018","US$","10566.0498008248"
"Saint Vincent and the Grenadines","2018","US$","7361.334168095744"
"Samoa","2018","US$","4249.574036749619"
"San Marino","2018","US$","48472.71259017612"
"Sao Tome and Principe","2018","US$","1948.1148548105052"
"Saudi Arabia","2018","US$","23217.196051590956"
"Senegal","2018","US$","1501.7213567237832"
"Serbia","2018","US$","7208.779932125476"
"Seychelles","2018","US$","16377.85557623632"
"Sierra Leone","2018","US$","536.1104592306928"
